| Suite de Pruebas | Caso de Prueba | Prioridad | Build v2.1.0 | Equipo QA | Fecha | Notas | Duración de la ejecución (min) |
| Módulo Intervenciones/Reporte de Intervención por Fecha | CP-172: Generar un informe con un rango de fechas específico | Alta | Pasado | Equipo QA | 2023-11-24 21:40:27 | 2 | |
| Módulo Intervenciones/Reporte de Intervención por Fecha | CP-173: Generar un informe con un rango de fechas específico y un identificador de equipo | Alta | Pasado | Equipo QA | 2023-11-24 21:40:56 | 3 | |
| Módulo Intervenciones/Reporte de Intervención por Fecha | CP-174: Generar un informe sin un rango de fechas específico | Alta | Pasado | Equipo QA | 2023-11-24 21:41:19 | 2 | |
| Módulo Intervenciones/Reporte de Intervención por Fecha | CP-175: Generar un informe sin filtros | Alta | Pasado | Equipo QA | 2023-11-24 21:41:38 | 2 | |
| Módulo Intervenciones/Reporte de Intervención por Fecha | CP-178: Fecha desde mayor a fecha hasta | Alta | Pasado | Equipo QA | 2023-11-24 21:44:48 | 2 | |
| Módulo Intervenciones/Reporte de Intervención por Fecha | CP-380: Descargar listado/reporte de Intervenciones por fecha | Baja | Pasado | Equipo QA | 2023-11-24 21:38:02 | 3 | |
| Módulo Perfiles/Registro Perfil | CP-176: Ingresar un perfil nuevo como usuario administrador | Alta | Pasado | Equipo QA | 2023-11-25 02:03:36 | 1 | |
| Módulo Perfiles/Registro Perfil | CP-177: Ingresar un perfil nuevo como usuario auxiliar administrador | Alta | Pasado | Equipo QA | 2023-11-25 02:05:57 | | |
| Módulo Perfiles/Registro Perfil | CP-179: Solicitud de confirmación al ingresar un nuevo perfil | Alta | Pasado | Equipo QA | 2023-11-25 02:06:30 | 1 | |
| Módulo Perfiles/Registro Perfil | CP-180: Cancelar el ingreso de un nuevo perfil | Alta | Fallado | Equipo QA | 2023-11-25 02:15:50 | No permite cancelar, no da la opción | 1 |
| Módulo Perfiles/Registro Perfil | CP-182: Registro incorrecto | Alta | Pasado | Equipo QA | 2023-11-25 02:17:11 | 1 | |
| Módulo Perfiles/Registro Perfil | CP-183: Ingresar un perfil como usuario no administrativo | Alta | Fallado | Equipo QA | 2023-11-25 02:18:42 | | |
| Módulo Intervenciones/Reporte de Intervención por Tipo de Intervención | CP-181: Mostrar la cantidad de intervenciones sin filtros | Alta | Pasado | Equipo QA | 2023-11-24 21:55:05 | 3 | |
| Módulo Intervenciones/Reporte de Intervención por Tipo de Intervención | CP-184: Generar reporte de la cantidad de intervenciones por un tipo específico | Media | Pasado | Equipo QA | 2023-11-24 21:55:26 | 2 | |
| Módulo Intervenciones/Reporte de Intervención por Tipo de Intervención | CP-187: Generar reporte de la cantidad de intervenciones en un rango de fechas | Alta | Pasado | Equipo QA | 2023-11-24 21:55:43 | 2 | |
| Módulo Intervenciones/Reporte de Intervención por Tipo de Intervención | CP-189: Generar reporte de la cantidad de intervenciones para un tipo específico en un rango de fechas | Alta | Pasado | Equipo QA | 2023-11-24 21:56:16 | 2 | |
| Módulo Intervenciones/Reporte de Intervención por Tipo de Intervención | CP-381: Descargar listado/reporte de Intervenciones por tipo | Baja | Fallado | Equipo QA | 2023-11-24 21:53:47 | 1 | |
| Módulo Perfiles/Listado Perfil | CP-190: Visualizar el listado de los perfiles como usuario administrador | Alta | Pasado | Equipo QA | 2023-11-25 02:45:54 | 1 | |
| Módulo Perfiles/Listado Perfil | CP-191: Visualizar el listado de los perfiles como usuario auxiliar administrador | Alta | Pasado | Equipo QA | 2023-11-25 02:53:10 | 1 | |
| Módulo Perfiles/Listado Perfil | CP-192: Acceder a un perfil desde el listado de perfiles como usuario administrador | Alta | Pasado | Equipo QA | 2023-11-25 02:54:58 | 2 | |
| Módulo Perfiles/Listado Perfil | CP-193: Acceder a un perfil desde el listado de perfiles como usuario auxiliar administrador | Alta | Pasado | Equipo QA | 2023-11-25 02:56:04 | 2 | |
| Módulo Perfiles/Listado Perfil | CP-194: Filtrar listado | Media | Pasado | Equipo QA | 2023-11-25 02:56:25 | 1 | |
| Módulo Perfiles/Listado Perfil | CP-195: Filtros incompatibles | Baja | Fallado | Equipo QA | 2023-11-25 02:57:14 | No despliega el mensaje. | |
| Módulo Perfiles/Listado Perfil | CP-379: Descargar listado/reporte de Perfiles | Baja | Pasado | Equipo QA | 2023-11-25 02:20:38 | | |
| Módulo Perfiles/Modificar Perfil | CP-199: Modificar un perfil desde el listado como usuario administrador | Alta | Pasado | Equipo QA | 2023-11-25 03:01:44 | 2 | |
| Módulo Perfiles/Modificar Perfil | CP-200: Modificar un perfil desde el listado como usuario auxiliar administrador | Alta | Pasado | Equipo QA | 2023-11-25 03:01:58 | 1 | |
| Módulo Perfiles/Modificar Perfil | CP-201: Mensaje de confirmación al modificar un perfil | Alta | Pasado | Equipo QA | 2023-11-25 03:05:29 | 1 | |
| Módulo Perfiles/Modificar Perfil | CP-202: Cancelar una modificación | Alta | Pasado | Equipo QA | 2023-11-25 03:06:13 | Corregido | 1 |
| Módulo Perfiles/Modificar Perfil | CP-203: Actualización del listado de perfiles | Alta | Pasado | Equipo QA | 2023-11-25 03:06:47 | | |
| Módulo Perfiles/Modificar Perfil | CP-378: Modificación de Nombre de Perfil | Alta | Pasado | Equipo QA | 2023-11-25 03:07:20 | | |
| Módulo Perfiles/Baja Perfil | CP-204: Eliminar un perfil desde el listado como usuario administrador | Alta | Pasado | Equipo QA | 2023-11-25 03:07:56 | | |
| Módulo Perfiles/Baja Perfil | CP-205: Eliminar un perfil desde el listado como usuario auxiliar administrador | Alta | Pasado | Equipo QA | 2023-11-25 03:08:09 | | |
| Módulo Perfiles/Baja Perfil | CP-206: Mensaje de confirmación al eliminar un perfil | Alta | Pasado | Equipo QA | 2023-11-25 03:08:37 | Corregido | 1 |
| Módulo Perfiles/Baja Perfil | CP-207: Cancelar una eliminación | Alta | Pasado | Equipo QA | 2023-11-25 03:09:53 | | |
| Módulo Perfiles/Baja Perfil | CP-208: Reactivar un perfil | Alta | Fallado | Equipo QA | 2023-11-25 03:11:23 | El botón para Re-Activar no se encuentra en la interfaz | 2 |
| Módulo Equipos/Registro Equipo | CP-209: Ingresar un equipo como usuario Administrador | Alta | Pasado | Equipo QA | 2023-11-24 16:55:45 | 2 | |
| Módulo Equipos/Registro Equipo | CP-210: Ingresar un equipo como usuario Auxiliar Administrativo | Alta | Pasado | Equipo QA | 2023-11-24 16:55:52 | 2 | |
| Módulo Equipos/Registro Equipo | CP-211: Ingresar un equipo como usuario Ingeniero biomédico | Alta | Pasado | Equipo QA | 2023-11-24 16:56:03 | 2 | |
| Módulo Equipos/Registro Equipo | CP-212: Ingresar un equipo como usuario Tecnólogo | Alta | Pasado | Equipo QA | 2023-11-24 16:56:13 | 2 | |
| Módulo Equipos/Registro Equipo | CP-213: Ingresar un equipo como usuario Técnico | Alta | Pasado | Equipo QA | 2023-11-24 16:56:19 | 2 | |
| Módulo Equipos/Registro Equipo | CP-215: Entradas inválidas para el registro de un nuevo Equipo | Alta | Pasado | Equipo QA | 2023-11-24 16:56:48 | 2 | |
| Módulo Equipos/Registro Equipo | CP-216: Registro exitoso de un Equipo | Alta | Pasado | Equipo QA | 2023-11-24 16:50:42 | 2 | |
| Módulo Equipos/Listado Equipo | CP-241: Visualizar el listado de todos los equipos ingresados en el inventario | Alta | Pasado | Equipo QA | 2023-11-24 16:51:05 | 2 | |
| Módulo Equipos/Listado Equipo | CP-242: Visualizar el listado de los equipos como usuario administrador | Alta | Pasado | Equipo QA | 2023-11-24 16:51:20 | 2 | |
| Módulo Equipos/Listado Equipo | CP-243: Visualizar el listado de los equipos como usuario auxiliar administrador | Alta | Pasado | Equipo QA | 2023-11-24 16:51:37 | 2 | |
| Módulo Equipos/Listado Equipo | CP-244: Visualizar el listado de los equipos como usuario ingeniero biomédico | Alta | Pasado | Equipo QA | 2023-11-24 16:51:42 | 2 | |
| Módulo Equipos/Listado Equipo | CP-245: Visualizar el listado de los equipos como usuario Tecnólogo | Alta | Pasado | Equipo QA | 2023-11-24 16:51:48 | 2 | |
| Módulo Equipos/Listado Equipo | CP-246: Visualizar el listado de los equipos como usuario técnico | Alta | Pasado | Equipo QA | 2023-11-24 16:51:55 | 2 | |
| Módulo Equipos/Listado Equipo | CP-247: Filtrar por Nombre de equipo | Alta | Pasado | Equipo QA | 2023-11-24 16:52:03 | 2 | |
| Módulo Equipos/Listado Equipo | CP-249: Filtrar por Marca | Alta | Pasado | Equipo QA | 2023-11-24 16:52:07 | 2 | |
| Módulo Equipos/Listado Equipo | CP-250: Filtrar por Modelo | Alta | Pasado | Equipo QA | 2023-11-24 16:52:14 | 2 | |
| Módulo Equipos/Listado Equipo | CP-251: Filtrar por Número de serie | Alta | Pasado | Equipo QA | 2023-11-24 16:52:23 | 2 | |
| Módulo Equipos/Listado Equipo | CP-252: Filtrar por País de origen | Alta | Pasado | Equipo QA | 2023-11-24 16:52:30 | 2 | |
| Módulo Equipos/Listado Equipo | CP-253: Filtrar por Proveedor | Alta | Pasado | Equipo QA | 2023-11-24 16:52:35 | 2 | |
| Módulo Equipos/Listado Equipo | CP-254: Filtrar por Identificación interna | Alta | Pasado | Equipo QA | 2023-11-24 16:52:40 | 2 | |
| Módulo Equipos/Listado Equipo | CP-255: Filtrar por Ubicación | Alta | Pasado | Equipo QA | 2023-11-24 16:52:49 | 2 | |
| Módulo Equipos/Listado Equipo | CP-382: Combinar Filtro | Media | Pasado | Equipo QA | 2023-11-24 16:52:59 | 2 | |
| Módulo Equipos/Listado Equipo | CP-383: Descargar listado/reporte de Equipos | Baja | Pasado | Equipo QA | 2023-11-24 16:50:54 | 2 | |
| Módulo Equipos/Baja Equipo | CP-256: Dar de baja un equipo correctamente como usuario administrador | Alta | Pasado | Equipo QA | 2023-11-24 16:54:19 | 2 | |
| Módulo Equipos/Baja Equipo | CP-298: Dar de baja un equipo correctamente como usuario auxiliar administrador | Alta | Pasado | Equipo QA | 2023-11-24 16:54:26 | 2 | |
| Módulo Equipos/Baja Equipo | CP-300: Dar de baja un equipo correctamente como usuario ingeniero biomédico | Alta | Pasado | Equipo QA | 2023-11-24 16:54:35 | 2 | |
| Módulo Equipos/Baja Equipo | CP-301: Dar de baja un equipo correctamente como usuario tecnólogo | Alta | Pasado | Equipo QA | 2023-11-24 16:54:44 | 2 | |
| Módulo Equipos/Baja Equipo | CP-303: Dar de baja un equipo correctamente como usuario técnico | Alta | Pasado | Equipo QA | 2023-11-24 16:54:53 | 2 | |
| Módulo Equipos/Baja Equipo | CP-306: Formulario de registro baja de equipo | Alta | Pasado | Equipo QA | 2023-11-24 16:55:08 | 2 | |
| Módulo Equipos/Baja Equipo | CP-308: Entradas inválidas para el registro de Baja de Equipo | Alta | Pasado | Equipo QA | 2023-11-24 16:55:23 | 2 | |
| Módulo Equipos/Baja Equipo | CP-310: Mensaje de Confirmación Post Baja Exitosa | Alta | Pasado | Equipo QA | 2023-11-24 16:55:34 | 2 | |
| Módulo Ubicaciones/Ingreso Ubicación | CP-257: Registro de ubicaciones por parte de un usuario administrador | Alta | Pasado | Equipo QA | 2023-11-24 20:59:56 | 3 | |
| Módulo Ubicaciones/Ingreso Ubicación | CP-258: Registro de ubicaciones por parte de un usuario auxiliar administrativo | Alta | Pasado | Equipo QA | 2023-11-24 21:00:17 | 3 | |
| Módulo Ubicaciones/Ingreso Ubicación | CP-259: Registro de ubicaciones por parte de un usuario ingeniero biomédico | Alta | Pasado | Equipo QA | 2023-11-24 21:03:00 | 3 | |
| Módulo Ubicaciones/Ingreso Ubicación | CP-260: Registro de ubicaciones por parte de un usuario tecnólogo | Alta | Pasado | Equipo QA | 2023-11-24 21:05:31 | 3 | |
| Módulo Ubicaciones/Ingreso Ubicación | CP-261: Registro de ubicaciones por parte de un usuario técnico | Alta | Pasado | Equipo QA | 2023-11-24 21:06:08 | 3 | |
| Módulo Ubicaciones/Ingreso Ubicación | CP-262: Registro exitoso de una ubicación | Alta | Pasado | Equipo QA | 2023-11-24 21:07:10 | 3 | |
| Módulo Ubicaciones/Ingreso Ubicación | CP-263: El sistema notifica al usuario el resultado de su transacción | Alta | Pasado | Equipo QA | 2023-11-24 21:07:49 | 3 | |
| Módulo Ubicaciones/Ingreso Ubicación | CP-264: Entradas inválidas para el registro de Ubicación | Alta | Pasado | Equipo QA | 2023-11-24 21:19:47 | 3 | |
| Módulo Ubicaciones/Ingreso Ubicación | CP-271: Cancelar registro de nueva ubicación | Alta | Bloqueado | Equipo QA | 2023-11-24 21:22:03 | El sistema no tiene un botón Cancelar en la interfaz de ingreso de ubicación. | |
| Módulo Ubicaciones/Modificación de Ubicaciones | CP-272: Modificación exitosa | Alta | Pasado | Equipo QA | 2023-11-24 21:23:40 | 2 | |
| Módulo Ubicaciones/Modificación de Ubicaciones | CP-273: Modificación de la ubicación por parte del usuario administrador | Alta | Pasado | Equipo QA | 2023-11-24 21:23:54 | 2 | |
